monitor_id,latitude,longitude,mean_benzene,median_benzene,max_benzene,p95_benzene,exceedance_count,rolling12_latest,rolling12_source_latest,rolling12_mean_abs_difference,rolling_mean_last_available_date,distance_to_refinery,azimuth_from_refinery,downwind_score
BMT-01,30.07664,-94.07121,9.253846153846155,2.7,210.0,15.839999999999998,0,10.11860465116279,2.4,12.049208876405151,2026-05-26,5.344393633825649,94.2338568355915,0.08118282343394685
BMT-02,30.07667,-94.06433,2.8106060606060606,2.3,11.0,6.6,0,2.3444444444444446,2.0,1.2147865510381037,2026-05-26,6.004559929938569,93.73249821497194,0.0808928200459265
BMT-03,30.07583,-94.06433,3.1196969696969696,2.6,28.0,5.0,0,2.0925925925925926,2.1,1.1927186879373217,2026-05-26,6.011413692051479,94.62086162652531,0.08082450194009479
BMT-04,30.07467,-94.06087,6.262121212121213,5.45,26.0,15.25,0,6.466666666666668,,,2026-05-26,6.354528652469448,95.53655953527209,0.0816561703100666
BMT-05,30.07319,-94.05821,5.716666666666667,4.2,42.0,18.0,0,4.333333333333333,2.8,4.6552601182346525,2026-05-26,6.6267117091593475,96.73800811723748,0.08177816692762324
BMT-06,30.07097,-94.05761,1.4454545454545455,1.2,4.7,2.975,0,1.137037037037037,1.1,0.5125262899051719,2026-05-26,6.717384904439461,98.7711968670231,0.0807805831577744
BMT-07,30.06816,-94.058,0.9265151515151515,0.8,2.5,1.825,0,0.7111111111111112,0.93,0.27036893268911905,2026-05-26,6.735477177700668,101.4476599517775,0.08405845799063902
BMT-08,30.06701,-94.05709,0.7696969696969697,0.7,1.5,1.3,0,0.6555555555555556,0.78,0.20551499629884723,2026-05-26,6.847600929442497,102.3503826791706,0.08495077610762473
BMT-09,30.06896,-94.05434,0.6987878787878787,0.7,1.2,1.0,0,0.6740740740740742,0.85,0.13775481085741953,2026-05-26,7.064675657054781,100.17189273281241,0.08350285053810964
BMT-10,30.06711,-94.05172,0.68,0.7,1.7,0.975,0,0.6925925925925925,0.75,0.17020891072580513,2026-05-26,7.350963555283233,101.40168524670594,0.08405845799063902
BMT-11,30.06474,-94.0527,0.6904545454545454,0.7,1.5,1.0,0,0.6666666666666666,0.76,0.15009568767786158,2026-05-26,7.316038391715693,103.57154946471252,0.0839483124730736
BMT-12,30.06382,-94.075473,0.7020000000000001,0.7,1.5,1.0,0,0.6707407407407407,0.79,0.11990227685074233,2026-05-26,5.246163086840706,110.30226258681017,0.08699962215904734
BMT-13,30.06308,-94.05812,0.9455384615384615,0.9,2.4,1.6,0,0.6961538461538462,0.81,0.2942757497735759,2026-05-26,6.859164221482089,106.0959956470058,0.08412956459058632
BMT-14,30.0609,-94.06012,0.9840909090909091,0.9,2.4,1.675,0,0.7851851851851852,0.93,0.27143643944047674,2026-05-26,6.7476876302799855,108.52804880304899,0.08583263737167697
BMT-15,30.05644,-94.06226,0.790909090909091,0.7,1.8,1.475,0,0.6481481481481481,0.75,0.20475119120584961,2026-05-26,6.731653516526486,113.09236978254023,0.09202100293767855
BMT-16,30.0564,-94.06921,0.9989915966386554,1.0,1.9,1.619999999999999,0,0.9511627906976745,1.0,0.22450768759207324,2026-05-26,6.124059772829382,115.5889811638308,0.09509531770010583
BMT-17,30.05087,-94.06865,0.9962121212121212,0.8,10.0,1.3,0,0.7407407407407407,0.87,0.34493255188565747,2026-05-26,6.460397714144566,120.30502593774844,0.09812153093903933
BMT-18,30.0468,-94.07106,1.0066666666666666,0.9,2.1,1.675,0,0.9296296296296297,1.2,0.26258751320453183,2026-05-26,6.508585286991147,124.77941430115675,0.10182255975394328
BMT-19,30.04831,-94.07391,1.3028787878787877,1.2,2.6,2.075,0,1.225925925925926,1.6,0.3813168560976636,2026-05-26,6.18753510927459,124.95274363485493,0.10231821458298766
BMT-20,30.05013,-94.07581,1.2536363636363637,1.2,2.1,1.875,0,1.1333333333333333,1.5,0.33093068865342157,2026-05-26,5.921991854780922,124.36272527871108,0.1019884751538203
BMT-21,30.05423,-94.0797,0.8693939393939394,0.9,1.6,1.275,0,0.774074074074074,1.1,0.1978869936734533,2026-05-26,5.3580709538992695,122.60048766810593,0.09997936514354472
BMT-22,30.05793,-94.07944,0.8695454545454545,0.8,1.8,1.275,0,0.8037037037037037,0.98,0.1901906388366637,2026-05-26,5.169888090017568,118.607511959791,0.09906473907363436
BMT-23,30.0594,-94.0786,0.9663636363636364,0.9,2.2,1.4,0,0.8814814814814815,0.98,0.2819364159328135,2026-05-26,5.165735508367792,116.58614501091796,0.09579941246428986
BMT-24,30.06203,-94.0795,0.8456923076923076,0.8,2.0,1.2,0,0.7333333333333334,0.89,0.22584891154360465,2026-05-26,4.962304014183896,114.01428400201752,0.092323554549219
BMT-25,30.06612,-94.07808,0.991969696969697,1.0,1.5,1.4,0,0.8962962962962964,1.1,0.1773641673003785,2026-05-26,4.924428194415384,108.52566822088295,0.08583263737167697
BMT-26,30.06983,-94.07565,1.5706060606060606,1.3,8.9,2.8,0,1.1444444444444444,1.6,0.6767323523083771,2026-05-26,5.036435235042922,103.22250763778965,0.08458548337848369
BMT-27,30.07475,-94.07576,1.329090909090909,1.2,3.1,2.3,0,0.9888888888888888,1.7,0.4788557154049079,2026-05-26,4.929345164141206,97.04906267175932,0.08189667792753538
